Frame,Timestamp,Value
0,0.0239686,Bonsai.Shaders.FrameEvent
1,0.0683787,Bonsai.Shaders.FrameEvent
2,0.0726203,Bonsai.Shaders.FrameEvent
3,0.088457,Bonsai.Shaders.FrameEvent
4,0.105837,Bonsai.Shaders.FrameEvent
5,0.1228407,Bonsai.Shaders.FrameEvent
6,0.1408558,Bonsai.Shaders.FrameEvent
7,0.1555568,Bonsai.Shaders.FrameEvent
8,0.1889457,Bonsai.Shaders.FrameEvent
9,0.2046431,Bonsai.Shaders.FrameEvent
10,0.2228929,Bonsai.Shaders.FrameEvent
11,0.2422402,Bonsai.Shaders.FrameEvent
12,0.2565619,Bonsai.Shaders.FrameEvent
13,0.2760251,Bonsai.Shaders.FrameEvent
14,0.2915037,Bonsai.Shaders.FrameEvent
15,0.3080099,Bonsai.Shaders.FrameEvent
16,0.3230665,Bonsai.Shaders.FrameEvent
17,0.3404055,Bonsai.Shaders.FrameEvent
18,0.3590481,Bonsai.Shaders.FrameEvent
19,0.3746157,Bonsai.Shaders.FrameEvent
20,0.3898126,Bonsai.Shaders.FrameEvent
21,0.4073063,Bonsai.Shaders.FrameEvent
22,0.4312826,Bonsai.Shaders.FrameEvent
23,0.445888,Bonsai.Shaders.FrameEvent
24,0.4568312,Bonsai.Shaders.FrameEvent
25,0.4744066,Bonsai.Shaders.FrameEvent
26,0.4926431,Bonsai.Shaders.FrameEvent
27,0.5079917,Bonsai.Shaders.FrameEvent
28,0.525583,Bonsai.Shaders.FrameEvent
29,0.5417906,Bonsai.Shaders.FrameEvent
30,0.5564132,Bonsai.Shaders.FrameEvent
31,0.5760779,Bonsai.Shaders.FrameEvent
32,0.592252,Bonsai.Shaders.FrameEvent
33,0.6096238,Bonsai.Shaders.FrameEvent
34,0.6296325,Bonsai.Shaders.FrameEvent
35,0.6445518,Bonsai.Shaders.FrameEvent
36,0.6609954,Bonsai.Shaders.FrameEvent
37,0.6763195,Bonsai.Shaders.FrameEvent
38,0.6897055,Bonsai.Shaders.FrameEvent
39,0.7070697,Bonsai.Shaders.FrameEvent
40,0.7227082,Bonsai.Shaders.FrameEvent
41,0.7422822,Bonsai.Shaders.FrameEvent
42,0.7581662,Bonsai.Shaders.FrameEvent
43,0.7758693,Bonsai.Shaders.FrameEvent
44,0.7911498,Bonsai.Shaders.FrameEvent
45,0.8097026,Bonsai.Shaders.FrameEvent
46,1.1030075,Bonsai.Shaders.FrameEvent
47,1.1102624,Bonsai.Shaders.FrameEvent
48,1.1234477,Bonsai.Shaders.FrameEvent
49,1.1390951,Bonsai.Shaders.FrameEvent
50,1.1556276,Bonsai.Shaders.FrameEvent
51,1.1832195,Bonsai.Shaders.FrameEvent
52,1.2051732,Bonsai.Shaders.FrameEvent
53,1.2227542,Bonsai.Shaders.FrameEvent
54,1.2396345,Bonsai.Shaders.FrameEvent
55,1.2585528,Bonsai.Shaders.FrameEvent
56,1.2728139,Bonsai.Shaders.FrameEvent
57,1.2892898,Bonsai.Shaders.FrameEvent
58,1.3060926,Bonsai.Shaders.FrameEvent
59,1.3227369,Bonsai.Shaders.FrameEvent
60,1.339496,Bonsai.Shaders.FrameEvent
61,1.3562897,Bonsai.Shaders.FrameEvent
62,1.3762867,Bonsai.Shaders.FrameEvent
63,1.3910134,Bonsai.Shaders.FrameEvent
64,1.4076805,Bonsai.Shaders.FrameEvent
65,1.4237176,Bonsai.Shaders.FrameEvent
66,1.4408304,Bonsai.Shaders.FrameEvent
67,1.45653,Bonsai.Shaders.FrameEvent
68,1.4723807,Bonsai.Shaders.FrameEvent
69,1.4896593,Bonsai.Shaders.FrameEvent
70,1.5071175,Bonsai.Shaders.FrameEvent
71,1.5252047,Bonsai.Shaders.FrameEvent
72,1.5428091,Bonsai.Shaders.FrameEvent
73,1.5621046,Bonsai.Shaders.FrameEvent
74,1.5773038,Bonsai.Shaders.FrameEvent
75,1.5895548,Bonsai.Shaders.FrameEvent
76,1.6058191,Bonsai.Shaders.FrameEvent
77,1.6218414,Bonsai.Shaders.FrameEvent
78,1.6404467,Bonsai.Shaders.FrameEvent
79,1.6562825,Bonsai.Shaders.FrameEvent
80,1.6723173,Bonsai.Shaders.FrameEvent
81,1.6887702,Bonsai.Shaders.FrameEvent
82,1.7045894,Bonsai.Shaders.FrameEvent
83,1.7218719,Bonsai.Shaders.FrameEvent
84,1.7396913,Bonsai.Shaders.FrameEvent
85,1.7558409,Bonsai.Shaders.FrameEvent
86,1.7722706,Bonsai.Shaders.FrameEvent
87,1.7894101,Bonsai.Shaders.FrameEvent
88,1.805532,Bonsai.Shaders.FrameEvent
89,1.8225299,Bonsai.Shaders.FrameEvent
90,1.8393668,Bonsai.Shaders.FrameEvent
91,1.8576325,Bonsai.Shaders.FrameEvent
92,1.8748558,Bonsai.Shaders.FrameEvent
93,1.8922108,Bonsai.Shaders.FrameEvent
94,1.9076995,Bonsai.Shaders.FrameEvent
95,1.9247697,Bonsai.Shaders.FrameEvent
96,1.9411309,Bonsai.Shaders.FrameEvent
97,1.9580688,Bonsai.Shaders.FrameEvent
98,1.9728794,Bonsai.Shaders.FrameEvent
99,1.9904812,Bonsai.Shaders.FrameEvent
100,2.0072276,Bonsai.Shaders.FrameEvent
101,2.0263289,Bonsai.Shaders.FrameEvent
102,2.0417672,Bonsai.Shaders.FrameEvent
103,2.0609452,Bonsai.Shaders.FrameEvent
104,2.0776635,Bonsai.Shaders.FrameEvent
105,2.0924262,Bonsai.Shaders.FrameEvent
106,2.1071713,Bonsai.Shaders.FrameEvent
107,2.124715,Bonsai.Shaders.FrameEvent
108,2.1417576,Bonsai.Shaders.FrameEvent
109,2.157088,Bonsai.Shaders.FrameEvent
110,2.1786756,Bonsai.Shaders.FrameEvent
111,2.187978,Bonsai.Shaders.FrameEvent
112,2.2053913,Bonsai.Shaders.FrameEvent
113,2.2223661,Bonsai.Shaders.FrameEvent
114,2.2390818,Bonsai.Shaders.FrameEvent
115,2.2561908,Bonsai.Shaders.FrameEvent
116,2.2722932,Bonsai.Shaders.FrameEvent
117,2.2887981,Bonsai.Shaders.FrameEvent
118,2.3091982,Bonsai.Shaders.FrameEvent
119,2.3235817,Bonsai.Shaders.FrameEvent
120,2.5617463,Bonsai.Shaders.FrameEvent
121,2.6699074,Bonsai.Shaders.FrameEvent
122,2.6739682,Bonsai.Shaders.FrameEvent
123,2.6773783,Bonsai.Shaders.FrameEvent
124,2.6921064,Bonsai.Shaders.FrameEvent
125,2.7098436,Bonsai.Shaders.FrameEvent
126,2.7434673,Bonsai.Shaders.FrameEvent
127,2.7917596,Bonsai.Shaders.FrameEvent
128,2.794189,Bonsai.Shaders.FrameEvent
129,2.8071693,Bonsai.Shaders.FrameEvent
130,2.8242861,Bonsai.Shaders.FrameEvent
131,2.8406969,Bonsai.Shaders.FrameEvent
132,2.8570509,Bonsai.Shaders.FrameEvent
133,2.8737467,Bonsai.Shaders.FrameEvent
134,2.8890828,Bonsai.Shaders.FrameEvent
135,2.9061323,Bonsai.Shaders.FrameEvent
136,2.9216079,Bonsai.Shaders.FrameEvent
137,2.9394044,Bonsai.Shaders.FrameEvent
138,2.9547378,Bonsai.Shaders.FrameEvent
139,2.9714625,Bonsai.Shaders.FrameEvent
140,2.9880649,Bonsai.Shaders.FrameEvent
141,3.0048211,Bonsai.Shaders.FrameEvent
142,3.0213762,Bonsai.Shaders.FrameEvent
143,3.0383327,Bonsai.Shaders.FrameEvent
144,3.0562526,Bonsai.Shaders.FrameEvent
145,3.0727775,Bonsai.Shaders.FrameEvent
146,3.0893296,Bonsai.Shaders.FrameEvent
147,3.1069834,Bonsai.Shaders.FrameEvent
148,3.1255061,Bonsai.Shaders.FrameEvent
149,3.1401071,Bonsai.Shaders.FrameEvent
150,3.156531,Bonsai.Shaders.FrameEvent
151,3.1772698,Bonsai.Shaders.FrameEvent
152,3.1948165,Bonsai.Shaders.FrameEvent
153,3.2079992,Bonsai.Shaders.FrameEvent
154,3.2231515,Bonsai.Shaders.FrameEvent
155,3.2399338,Bonsai.Shaders.FrameEvent
156,3.2567308,Bonsai.Shaders.FrameEvent
157,3.2734797,Bonsai.Shaders.FrameEvent
158,3.2904581,Bonsai.Shaders.FrameEvent
159,3.3092511,Bonsai.Shaders.FrameEvent
160,3.3243729,Bonsai.Shaders.FrameEvent
161,3.3415026,Bonsai.Shaders.FrameEvent
162,3.3583595,Bonsai.Shaders.FrameEvent
163,3.3732067,Bonsai.Shaders.FrameEvent
164,3.3899165,Bonsai.Shaders.FrameEvent
165,3.406654,Bonsai.Shaders.FrameEvent
166,3.424641,Bonsai.Shaders.FrameEvent
167,3.4398647,Bonsai.Shaders.FrameEvent
168,3.4565541,Bonsai.Shaders.FrameEvent
169,3.4736253,Bonsai.Shaders.FrameEvent
170,3.4903387,Bonsai.Shaders.FrameEvent
171,3.5065133,Bonsai.Shaders.FrameEvent
172,3.5242292,Bonsai.Shaders.FrameEvent
173,3.540411,Bonsai.Shaders.FrameEvent
174,3.5569404,Bonsai.Shaders.FrameEvent
175,3.5731435,Bonsai.Shaders.FrameEvent
176,3.5906964,Bonsai.Shaders.FrameEvent
177,3.606734,Bonsai.Shaders.FrameEvent
178,3.6234271,Bonsai.Shaders.FrameEvent
179,3.6400778,Bonsai.Shaders.FrameEvent
180,3.6566447,Bonsai.Shaders.FrameEvent
181,3.673568,Bonsai.Shaders.FrameEvent
182,3.6898839,Bonsai.Shaders.FrameEvent
183,3.7068006,Bonsai.Shaders.FrameEvent
184,3.7234094,Bonsai.Shaders.FrameEvent
185,3.7410755,Bonsai.Shaders.FrameEvent
186,3.7571846,Bonsai.Shaders.FrameEvent
187,3.7735038,Bonsai.Shaders.FrameEvent
188,3.7902118,Bonsai.Shaders.FrameEvent
189,3.8094778,Bonsai.Shaders.FrameEvent
190,3.8235728,Bonsai.Shaders.FrameEvent
191,3.8403255,Bonsai.Shaders.FrameEvent
192,3.8571818,Bonsai.Shaders.FrameEvent
193,3.873239,Bonsai.Shaders.FrameEvent
194,3.8916156,Bonsai.Shaders.FrameEvent
195,3.9073606,Bonsai.Shaders.FrameEvent
196,3.9225666,Bonsai.Shaders.FrameEvent
197,3.9391746,Bonsai.Shaders.FrameEvent
198,3.9559706,Bonsai.Shaders.FrameEvent
199,3.9726177,Bonsai.Shaders.FrameEvent
200,3.9893142,Bonsai.Shaders.FrameEvent
201,4.0058305,Bonsai.Shaders.FrameEvent
202,4.0229711,Bonsai.Shaders.FrameEvent
203,4.0396532,Bonsai.Shaders.FrameEvent
204,4.0559888,Bonsai.Shaders.FrameEvent
205,4.073166,Bonsai.Shaders.FrameEvent
206,4.0896398,Bonsai.Shaders.FrameEvent
207,4.1057997,Bonsai.Shaders.FrameEvent
208,4.1224715,Bonsai.Shaders.FrameEvent
209,4.1392392,Bonsai.Shaders.FrameEvent
210,4.1582018,Bonsai.Shaders.FrameEvent
211,4.1740843,Bonsai.Shaders.FrameEvent
212,4.1898006,Bonsai.Shaders.FrameEvent
213,4.205916,Bonsai.Shaders.FrameEvent
214,4.2225149,Bonsai.Shaders.FrameEvent
215,4.2391677,Bonsai.Shaders.FrameEvent
216,4.2559816,Bonsai.Shaders.FrameEvent
217,4.2725883,Bonsai.Shaders.FrameEvent
218,4.2893445,Bonsai.Shaders.FrameEvent
219,4.3080272,Bonsai.Shaders.FrameEvent
220,4.3240887,Bonsai.Shaders.FrameEvent
221,4.3394541,Bonsai.Shaders.FrameEvent
222,4.3561378,Bonsai.Shaders.FrameEvent
223,4.3727462,Bonsai.Shaders.FrameEvent
224,4.3894655,Bonsai.Shaders.FrameEvent
225,4.4058136,Bonsai.Shaders.FrameEvent
226,4.4225068,Bonsai.Shaders.FrameEvent
227,4.4391449,Bonsai.Shaders.FrameEvent
228,4.4565448,Bonsai.Shaders.FrameEvent
229,4.4743573,Bonsai.Shaders.FrameEvent
230,4.49583,Bonsai.Shaders.FrameEvent
231,4.5087917,Bonsai.Shaders.FrameEvent
232,4.52424,Bonsai.Shaders.FrameEvent
233,4.5513843,Bonsai.Shaders.FrameEvent
234,4.5574934,Bonsai.Shaders.FrameEvent
235,4.5740185,Bonsai.Shaders.FrameEvent
236,4.5911374,Bonsai.Shaders.FrameEvent
237,4.6065041,Bonsai.Shaders.FrameEvent
238,4.622786,Bonsai.Shaders.FrameEvent
239,4.6397413,Bonsai.Shaders.FrameEvent
240,4.6569999,Bonsai.Shaders.FrameEvent
241,4.6729338,Bonsai.Shaders.FrameEvent
242,4.6898133,Bonsai.Shaders.FrameEvent
243,4.7066288,Bonsai.Shaders.FrameEvent
244,4.7230631,Bonsai.Shaders.FrameEvent
245,4.7391987,Bonsai.Shaders.FrameEvent
246,4.7560266,Bonsai.Shaders.FrameEvent
247,4.773786,Bonsai.Shaders.FrameEvent
248,4.7893955,Bonsai.Shaders.FrameEvent
249,4.8079014,Bonsai.Shaders.FrameEvent
250,4.8225211,Bonsai.Shaders.FrameEvent
251,4.8394309,Bonsai.Shaders.FrameEvent
252,4.8561857,Bonsai.Shaders.FrameEvent
253,4.8729614,Bonsai.Shaders.FrameEvent
254,4.8891965,Bonsai.Shaders.FrameEvent
255,4.9060158,Bonsai.Shaders.FrameEvent
256,4.9226376,Bonsai.Shaders.FrameEvent
257,4.939196,Bonsai.Shaders.FrameEvent
258,4.9560398,Bonsai.Shaders.FrameEvent
259,4.9725997,Bonsai.Shaders.FrameEvent
260,4.9892887,Bonsai.Shaders.FrameEvent
261,5.0060617,Bonsai.Shaders.FrameEvent
